PM25,O3,WS,TEMP,RH,WD
16.3,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
13.6,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
15.7,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
22.4,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
20.0,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
22.7,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
25.4,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
23.8,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
28.3,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
33.9,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
25.8,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
25.7,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
24.1,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
19.8,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
20.2,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
26.8,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
31.7,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
36.8,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
35.1,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
34.3,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
38.4,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
33.2,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
17.813627386438448,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
25.6,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
23.6,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
14.1,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
24.3,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
23.1,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
27.8,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
22.9,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
26.3,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
21.5,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
20.4,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
25.1,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
26.4,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
25.1,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
21.3,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
20.4,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
23.0,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
28.7,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
28.9,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
23.0,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
21.2,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
22.8,7.0,1,26.0,85.0,104.0
22.0,17.0,1,28.0,77.0,98.0
